Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions,source_file,Period_clean,Period_date,month,year,breach_rate,prev_month_breach,rolling_3m_avg,is_winter,trust_hist_avg,attendance_change,trust_encoded
MSitAE-APRIL-2023,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,4972,243,11,441,0,0,2392,0,0,0,0,0,391,14,1354,0,0,479,April-2023-revised-130624-defv1.csv,APRIL-2023,2023-04-01,4,2023,48.10941271118263,,,0,42.03586869096604,,0
MSitAE-MAY-2023,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5727,322,4,397,0,0,2219,0,0,0,0,0,237,16,1445,0,0,599,May-2023-revised-130624-aaabbdd.csv,MAY-2023,2023-05-01,5,2023,38.74628950584948,48.10941271118263,,0,42.03586869096604,15.185036202735326,0
MSitAE-JUNE-2023,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5704,259,8,378,0,0,1956,0,0,0,0,0,140,0,1432,0,0,552,June-2023-revised-130624-ndcvf47.csv,JUNE-2023,2023-06-01,6,2023,34.29172510518934,38.74628950584948,43.42785110851605,0,42.03586869096604,-0.40160642570281624,0
MSitAE-JULY-2023,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5756,328,12,424,0,0,2335,0,0,0,0,0,168,0,1457,0,0,608,July-2023-revised-130624-ign340.csv,JULY-2023,2023-07-01,7,2023,40.566365531619184,34.29172510518934,40.38247577407382,0,42.03586869096604,0.911640953716697,0
MSitAE-AUGUST-2023,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5562,296,0,397,0,0,2592,0,0,0,0,0,290,0,1518,0,0,544,August-2023-revised-130624-ndx091.csv,AUGUST-2023,2023-08-01,8,2023,46.601941747572816,40.566365531619184,37.868126714219336,0,42.03586869096604,-3.370396108408613,0
MSitAE-SEPTEMBER-2023,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5473,281,10,426,0,0,2546,0,0,0,0,0,253,44,1394,0,0,534,September-2023-revised-130624-odh304.csv,SEPTEMBER-2023,2023-09-01,9,2023,46.519276448017536,46.601941747572816,40.486677461460445,0,42.03586869096604,-1.6001438331535445,0
MSitAE-OCTOBER-2023,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5549,286,20,490,0,0,2832,0,0,0,0,0,408,142,1383,0,0,649,October-2023-revised-130624-nbe280.csv,OCTOBER-2023,2023-10-01,10,2023,51.03622274283654,46.519276448017536,44.56252790906984,1,42.03586869096604,1.388635117851278,0
MSitAE-NOVEMBER-2023,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5400,266,10,433,0,0,3173,0,0,0,0,0,393,238,1450,0,0,601,November-2023-revised-130624-vmw208.csv,NOVEMBER-2023,2023-11-01,11,2023,58.75925925925925,51.03622274283654,48.05248031280897,1,42.03586869096604,-2.685168498828616,0
MSitAE-DECEMBER-2023,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5428,206,9,548,0,0,3174,0,0,0,0,0,475,143,1498,0,0,550,December-2023-revised-130624-nbe280.csv,DECEMBER-2023,2023-12-01,12,2023,58.47457627118644,58.75925925925925,52.10491948337111,1,42.03586869096604,0.5185185185185182,0
MSitAE-JANUARY-2024,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5592,247,18,521,0,0,3142,0,0,0,0,0,527,220,1550,0,0,584,January-2024-revised-130624-ddff.csv,JANUARY-2024,2024-01-01,1,2024,56.187410586552225,58.47457627118644,56.09001942442742,1,42.03586869096604,3.0213706705969123,0
MSitAE-FEBRUARY-2024,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5220,241,14,480,0,0,2584,0,0,0,0,0,340,113,1619,0,0,560,February-2024-revised-130624-ef123ty.csv,FEBRUARY-2024,2024-02-01,2,2024,49.50191570881226,56.187410586552225,57.807082038999305,1,42.03586869096604,-6.65236051502146,0
MSitAE-MARCH-2024,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5682,264,20,527,0,0,2019,0,0,0,0,0,336,46,1630,0,0,592,March-2024-revised-130624-abcdef123.csv,MARCH-2024,2024-03-01,3,2024,35.533262935586066,49.50191570881226,54.72130085551697,0,42.03586869096604,8.850574712643677,0
MSitAE-APRIL-2024,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5567,264,13,560,0,0,1916,0,0,0,0,0,363,119,1479,0,0,563,Monthly-AE-April-2024-revised.csv,APRIL-2024,2024-04-01,4,2024,34.41710077240884,35.533262935586066,47.07419641031686,0,42.03586869096604,-2.0239352340725048,0
MSitAE-MAY-2024,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,6340,260,26,534,0,0,2487,0,0,0,0,0,431,151,1621,0,0,581,Monthly-AE-May-2024.csv,MAY-2024,2024-05-01,5,2024,39.22712933753944,34.41710077240884,39.817426472269055,0,42.03586869096604,13.885396084066826,0
MSitAE-JUNE-2024,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,6052,225,0,507,0,0,2440,0,0,0,0,0,489,178,1496,0,0,515,Monthly-AE-June-2024.csv,JUNE-2024,2024-06-01,6,2024,40.3172504957039,39.22712933753944,36.39249768184478,0,42.03586869096604,-4.542586750788646,0
MSitAE-JULY-2024,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,6135,306,0,462,0,0,2461,0,0,0,0,0,465,112,1530,0,0,609,Monthly-AE-July-2024-revised.csv,JULY-2024,2024-07-01,7,2024,40.11409942950285,40.3172504957039,37.98716020188406,0,42.03586869096604,1.371447455386643,0
MSitAE-AUGUST-2024,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5712,250,0,466,0,0,2335,0,0,0,0,0,419,101,1463,0,0,504,Monthly-AE-August-2024.csv,AUGUST-2024,2024-08-01,8,2024,40.878851540616246,40.11409942950285,39.88615975424873,0,42.03586869096604,-6.894865525672367,0
MSitAE-SEPTEMBER-2024,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5682,255,0,462,0,0,2290,0,0,0,0,0,420,93,1421,0,0,532,Monthly-AE-September-2024.csv,SEPTEMBER-2024,2024-09-01,9,2024,40.302710313269976,40.878851540616246,40.436733821941,0,42.03586869096604,-0.5252100840336116,0
MSitAE-OCTOBER-2024,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,6010,243,0,439,0,0,2557,0,0,0,0,0,509,212,1591,0,0,543,Monthly-AE-October-2024-revised.csv,OCTOBER-2024,2024-10-01,10,2024,42.54575707154742,40.302710313269976,40.43188709446303,1,42.03586869096604,5.772615276311166,0
MSitAE-NOVEMBER-2024,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5652,212,0,513,0,0,2577,0,0,0,0,0,528,135,1587,0,0,556,Monthly-AE-November-2024-revised.csv,NOVEMBER-2024,2024-11-01,11,2024,45.59447983014862,42.54575707154742,41.24243964181122,1,42.03586869096604,-5.956738768718806,0
MSitAE-DECEMBER-2024,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5809,202,0,557,0,0,2489,0,0,0,0,0,453,150,1661,0,0,559,Monthly-AE-December-2024.csv,DECEMBER-2024,2024-12-01,12,2024,42.847305904630744,45.59447983014862,42.814315738322,1,42.03586869096604,2.777777777777768,0
MSitAE-JANUARY-2025,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5350,250,0,567,0,0,2341,0,0,0,0,0,480,237,1554,0,0,562,Monthly-AE-January-2025.csv,JANUARY-2025,2025-01-01,1,2025,43.75700934579439,42.847305904630744,43.662514268775595,1,42.03586869096604,-7.901532105353759,0
MSitAE-FEBRUARY-2025,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5169,217,0,476,0,0,2298,0,0,0,0,0,446,162,1442,0,0,488,Monthly-AE-February-2025-revised.csv,FEBRUARY-2025,2025-02-01,2,2025,44.45734184561811,43.75700934579439,44.06626502685791,1,42.03586869096604,-3.383177570093454,0
MSitAE-MARCH-2025,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5892,232,0,541,0,0,2541,0,0,0,0,0,440,223,1521,0,0,521,Monthly-AE-March-2025.csv,MARCH-2025,2025-03-01,3,2025,43.12627291242362,44.45734184561811,43.68721903201441,0,42.03586869096604,13.987231572838077,0
MSitAE-APRIL-2025,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5994,219,0,516,0,0,2246,0,0,0,0,0,381,116,1577,0,0,474,April-2025-CSV-revised.csv,APRIL-2025,2025-04-01,4,2025,37.4708041374708,43.12627291242362,43.78020803461204,0,42.03586869096604,1.731160896130346,0
MSitAE-MAY-2025,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,6214,198,0,517,0,0,2200,0,0,0,0,0,270,47,1592,0,0,468,May-2025-CSV-revised.csv,MAY-2025,2025-05-01,5,2025,35.40392661731574,37.4708041374708,41.68480629850418,0,42.03586869096604,3.670337003670343,0
MSitAE-JUNE-2025,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,6194,219,0,479,0,0,2095,0,0,0,0,0,328,99,1540,0,0,471,June-2025-CSV-revised.csv,JUNE-2025,2025-06-01,6,2025,33.823054568937685,35.40392661731574,38.667001222403385,0,42.03586869096604,-0.32185387833922885,0
MSitAE-JULY-2025,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,6345,196,0,604,0,0,1943,0,0,0,0,0,270,70,1626,0,0,452,July-2025-CSV-revised.csv,JULY-2025,2025-07-01,7,2025,30.62253743104807,33.823054568937685,35.565928441241404,0,42.03586869096604,2.437843073942525,0
MSitAE-AUGUST-2025,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,6036,215,0,632,0,0,2246,0,0,0,0,0,424,61,1635,0,0,467,August-2025-CSV-revised.csv,AUGUST-2025,2025-08-01,8,2025,37.21007289595759,30.62253743104807,33.28317287243383,0,42.03586869096604,-4.869976359338057,0
MSitAE-SEPTEMBER-2025,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5960,279,0,487,0,0,2336,0,0,0,0,0,456,154,1523,0,0,571,September-2025-CSV-revised.csv,SEPTEMBER-2025,2025-09-01,9,2025,39.19463087248322,37.21007289595759,33.88522163198112,0,42.03586869096604,-1.2591119946984808,0
MSitAE-OCTOBER-2025,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,6305,255,0,528,0,0,2412,0,0,0,0,0,517,139,1673,0,0,585,October-2025-CSV-hg6dl.csv,OCTOBER-2025,2025-10-01,10,2025,38.25535289452815,39.19463087248322,35.67574706649629,1,42.03586869096604,5.788590604026855,0
MSitAE-NOVEMBER-2025,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,6085,235,0,490,0,0,2480,0,0,0,0,0,499,223,1509,0,0,618,November-2025-CSV-G9pr3.csv,NOVEMBER-2025,2025-11-01,11,2025,40.75595727198028,38.25535289452815,38.22001888765632,1,42.03586869096604,-3.489294210943694,0
MSitAE-DECEMBER-2025,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5866,239,0,491,0,0,2195,0,0,0,0,0,517,239,1637,0,0,611,December-2025-CSV-K7F4Sp.csv,DECEMBER-2025,2025-12-01,12,2025,37.41902488919195,40.75595727198028,39.401980346330554,1,42.03586869096604,-3.5990139687756773,0
MSitAE-JANUARY-2026,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,6127,211,0,474,0,0,2600,0,0,0,0,0,576,301,1704,0,0,536,January-2026-CSV-S6H81b.csv,JANUARY-2026,2026-01-01,1,2026,42.43512322506937,37.41902488919195,38.81011168523346,1,42.03586869096604,4.449369246505275,0
MSitAE-FEBRUARY-2026,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5277,197,0,398,0,0,2307,0,0,0,0,0,419,262,1427,0,0,490,February-2026-CSV-Dl8t54.csv,FEBRUARY-2026,2026-02-01,2,2026,43.71802160318363,42.43512322506937,40.20336846208053,1,42.03586869096604,-13.8730210543496,0
MSitAE-MARCH-2026,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5874,243,0,409,0,0,2060,0,0,0,0,0,413,428,1428,0,0,549,March-2026-CSV-G49lw.csv,MARCH-2026,2026-03-01,3,2026,35.069799114742935,43.71802160318363,41.19072323914832,0,42.03586869096604,11.313246162592371,0
MSitAE-APRIL-2023,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,5063,0,0,0,0,0,806,0,0,0,0,0,25,0,906,0,0,248,April-2023-revised-130624-defv1.csv,APRIL-2023,2023-04-01,4,2023,15.919415366383566,,,0,16.27620109616886,,1
MSitAE-MAY-2023,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,5772,0,0,0,0,0,877,0,0,0,0,0,0,0,1008,0,0,244,May-2023-revised-130624-aaabbdd.csv,MAY-2023,2023-05-01,5,2023,15.194040194040197,15.919415366383566,,0,16.27620109616886,14.003555204424245,1
MSitAE-JUNE-2023,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,5664,0,0,0,0,0,814,0,0,0,0,0,0,0,932,0,0,253,June-2023-revised-130624-ndcvf47.csv,JUNE-2023,2023-06-01,6,2023,14.371468926553671,15.194040194040197,15.556727780211881,0,16.27620109616886,-1.8711018711018657,1
MSitAE-JULY-2023,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,5051,0,0,0,0,0,462,0,0,0,0,0,0,0,941,0,0,187,July-2023-revised-130624-ign340.csv,JULY-2023,2023-07-01,7,2023,9.14670362304494,14.371468926553671,15.161641495659145,0,16.27620109616886,-10.822740112994357,1
MSitAE-AUGUST-2023,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,4479,0,0,0,0,0,342,0,0,0,0,0,0,0,700,0,0,351,August-2023-revised-130624-ndx091.csv,AUGUST-2023,2023-08-01,8,2023,7.635632953784327,9.14670362304494,12.904070914546269,0,16.27620109616886,-11.324490199960401,1
MSitAE-SEPTEMBER-2023,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,5423,0,0,0,0,0,1220,0,0,0,0,0,0,0,793,0,0,305,September-2023-revised-130624-odh304.csv,SEPTEMBER-2023,2023-09-01,9,2023,22.496773003872395,7.635632953784327,10.38460183446098,0,16.27620109616886,21.07613306541638,1
MSitAE-OCTOBER-2023,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,6505,0,0,0,0,0,1981,0,0,0,0,0,0,0,813,0,0,358,October-2023-revised-130624-nbe280.csv,OCTOBER-2023,2023-10-01,10,2023,30.453497309761723,22.496773003872395,13.093036526900553,1,16.27620109616886,19.95205605753274,1
MSitAE-NOVEMBER-2023,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,6040,0,0,0,0,0,1267,0,0,0,0,0,0,0,957,0,0,387,November-2023-revised-130624-vmw208.csv,NOVEMBER-2023,2023-11-01,11,2023,20.97682119205298,30.453497309761723,20.19530108913948,1,16.27620109616886,-7.1483474250576435,1
MSitAE-DECEMBER-2023,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,6323,0,0,0,0,0,980,0,0,0,0,0,0,0,899,0,0,356,December-2023-revised-130624-nbe280.csv,DECEMBER-2023,2023-12-01,12,2023,15.498972006958722,20.97682119205298,24.642363835229034,1,16.27620109616886,4.685430463576168,1
MSitAE-JANUARY-2024,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,6405,0,0,0,0,0,1152,0,0,0,0,0,0,0,920,0,0,385,January-2024-revised-130624-ddff.csv,JANUARY-2024,2024-01-01,1,2024,17.985948477751755,15.498972006958722,22.309763502924472,1,16.27620109616886,1.296852759765943,1
MSitAE-FEBRUARY-2024,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,6262,0,0,0,0,0,1341,0,0,0,0,0,0,0,942,0,0,379,February-2024-revised-130624-ef123ty.csv,FEBRUARY-2024,2024-02-01,2,2024,21.414883423826257,17.985948477751755,18.153913892254483,1,16.27620109616886,-2.2326307572209214,1
MSitAE-MARCH-2024,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,6895,0,0,0,0,0,1073,0,0,0,0,0,0,0,1038,0,0,366,March-2024-revised-130624-abcdef123.csv,MARCH-2024,2024-03-01,3,2024,15.562001450326324,21.414883423826257,18.299934636178907,0,16.27620109616886,10.108591504311715,1
MSitAE-APRIL-2024,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,5628,0,0,0,0,0,712,0,0,0,0,0,0,0,920,0,0,337,Monthly-AE-April-2024-revised.csv,APRIL-2024,2024-04-01,4,2024,12.651030561478322,15.562001450326324,18.320944450634777,0,16.27620109616886,-18.375634517766493,1
MSitAE-MAY-2024,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,6107,0,0,0,0,0,805,0,0,0,0,0,0,0,1003,0,0,312,Monthly-AE-May-2024.csv,MAY-2024,2024-05-01,5,2024,13.181594891108563,12.651030561478322,16.542638478543633,0,16.27620109616886,8.511016346837241,1
MSitAE-JUNE-2024,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,5739,0,0,0,0,0,942,0,0,0,0,0,0,0,1002,0,0,307,Monthly-AE-June-2024.csv,JUNE-2024,2024-06-01,6,2024,16.414009409304757,13.181594891108563,13.798208967637734,0,16.27620109616886,-6.025871950221062,1
MSitAE-JULY-2024,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,5165,0,0,0,0,0,626,0,0,0,0,0,0,0,881,0,0,299,Monthly-AE-July-2024-revised.csv,JULY-2024,2024-07-01,7,2024,12.120038722168442,16.414009409304757,14.082211620630545,0,16.27620109616886,-10.001742463843877,1
MSitAE-AUGUST-2024,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,3843,0,0,0,0,0,290,0,0,0,0,0,0,0,693,0,0,268,Monthly-AE-August-2024.csv,AUGUST-2024,2024-08-01,8,2024,7.546187874056727,12.120038722168442,13.905214340860587,0,16.27620109616886,-25.59535333978703,1
MSitAE-SEPTEMBER-2024,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,5058,0,0,0,0,0,776,0,0,0,0,0,0,0,862,0,0,308,Monthly-AE-September-2024.csv,SEPTEMBER-2024,2024-09-01,9,2024,15.342032423882957,7.546187874056727,12.02674533517664,0,16.27620109616886,31.615925058548,1
MSitAE-OCTOBER-2024,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,5891,0,0,0,0,0,1058,0,0,0,0,0,0,0,951,0,0,336,Monthly-AE-October-2024-revised.csv,OCTOBER-2024,2024-10-01,10,2024,17.95959938889832,15.342032423882957,11.669419673369374,1,16.27620109616886,16.468960063266103,1
MSitAE-NOVEMBER-2024,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,6277,0,0,0,0,0,1663,0,0,0,0,0,1,0,957,0,0,340,Monthly-AE-November-2024-revised.csv,NOVEMBER-2024,2024-11-01,11,2024,26.49354787318783,17.95959938889832,13.615939895612664,1,16.27620109616886,6.552368019012045,1
MSitAE-DECEMBER-2024,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,6181,0,0,0,0,0,1180,0,0,0,0,0,0,0,905,0,0,312,Monthly-AE-December-2024.csv,DECEMBER-2024,2024-12-01,12,2024,19.090762012619315,26.49354787318783,19.931726561989702,1,16.27620109616886,-1.529393022144332,1
MSitAE-JANUARY-2025,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,5771,0,0,0,0,0,1222,0,0,0,0,0,1,0,860,0,0,316,Monthly-AE-January-2025.csv,JANUARY-2025,2025-01-01,1,2025,21.17483971582048,19.090762012619315,21.181303091568484,1,16.27620109616886,-6.633230868791462,1
MSitAE-FEBRUARY-2025,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,5570,0,0,0,0,0,1182,0,0,0,0,0,1,0,816,0,0,272,Monthly-AE-February-2025-revised.csv,FEBRUARY-2025,2025-02-01,2,2025,21.220825852782767,21.17483971582048,22.25304986720921,1,16.27620109616886,-3.4829319008837345,1
MSitAE-MARCH-2025,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,6446,0,0,0,0,0,1301,0,0,0,0,0,4,0,831,0,0,297,Monthly-AE-March-2025.csv,MARCH-2025,2025-03-01,3,2025,20.183059261557553,21.220825852782767,20.49547586040752,0,16.27620109616886,15.727109515260329,1
MSitAE-APRIL-2025,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,5674,0,0,0,0,0,804,0,0,0,0,0,1,0,812,0,0,288,April-2025-CSV-revised.csv,APRIL-2025,2025-04-01,4,2025,14.169897779344378,20.183059261557553,20.85957494338693,0,16.27620109616886,-11.976419484951906,1
MSitAE-MAY-2025,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,6141,0,0,0,0,0,833,0,0,0,0,0,0,0,1002,0,0,299,May-2025-CSV-revised.csv,MAY-2025,2025-05-01,5,2025,13.564566031590946,14.169897779344378,18.524594297894897,0,16.27620109616886,8.230525202678884,1
MSitAE-JUNE-2025,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,5785,0,0,0,0,0,867,0,0,0,0,0,0,0,812,0,0,292,June-2025-CSV-revised.csv,JUNE-2025,2025-06-01,6,2025,14.98703543647364,13.564566031590946,15.972507690830957,0,16.27620109616886,-5.797101449275366,1
MSitAE-JULY-2025,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,5409,0,0,0,0,0,829,0,0,0,0,0,1,0,747,0,0,293,July-2025-CSV-revised.csv,JULY-2025,2025-07-01,7,2025,15.32630800517656,14.98703543647364,14.240499749136319,0,16.27620109616886,-6.499567847882459,1
MSitAE-AUGUST-2025,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,4303,0,0,0,0,0,424,0,0,0,0,0,0,0,691,0,0,246,August-2025-CSV-revised.csv,AUGUST-2025,2025-08-01,8,2025,9.853590518243086,15.32630800517656,14.625969824413716,0,16.27620109616886,-20.44740247735256,1
MSitAE-SEPTEMBER-2025,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,5271,0,0,0,0,0,669,0,0,0,0,0,0,0,815,0,0,275,September-2025-CSV-revised.csv,SEPTEMBER-2025,2025-09-01,9,2025,12.692088787706318,9.853590518243086,13.388977986631096,0,16.27620109616886,22.495933069951192,1
MSitAE-OCTOBER-2025,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,6441,0,0,0,0,0,841,0,0,0,0,0,0,0,870,0,0,300,October-2025-CSV-hg6dl.csv,OCTOBER-2025,2025-10-01,10,2025,13.056978730010869,12.692088787706318,12.623995770375322,1,16.27620109616886,22.196926579396692,1
MSitAE-NOVEMBER-2025,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,6725,0,0,0,0,0,1081,0,0,0,0,0,0,0,976,0,0,219,November-2025-CSV-G9pr3.csv,NOVEMBER-2025,2025-11-01,11,2025,16.074349442379184,13.056978730010869,11.867552678653423,1,16.27620109616886,4.409253221549458,1
MSitAE-DECEMBER-2025,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,6808,0,0,0,0,0,1089,0,0,0,0,0,1,0,970,0,0,204,December-2025-CSV-K7F4Sp.csv,DECEMBER-2025,2025-12-01,12,2025,15.995887191539364,16.074349442379184,13.941138986698789,1,16.27620109616886,1.234200743494429,1
MSitAE-JANUARY-2026,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,6012,0,0,0,0,0,823,0,0,0,0,0,0,0,937,0,0,198,January-2026-CSV-S6H81b.csv,JANUARY-2026,2026-01-01,1,2026,13.689288090485697,15.995887191539364,15.042405121309804,1,16.27620109616886,-11.692126909518219,1
MSitAE-FEBRUARY-2026,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,5576,0,0,0,0,0,1114,0,0,0,0,0,0,0,896,0,0,214,February-2026-CSV-Dl8t54.csv,FEBRUARY-2026,2026-02-01,2,2026,19.978479196556673,13.689288090485697,15.253174908134747,1,16.27620109616886,-7.252162341982704,1
MSitAE-MARCH-2026,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,6640,0,0,0,0,0,1097,0,0,0,0,0,0,0,952,0,0,240,March-2026-CSV-G49lw.csv,MARCH-2026,2026-03-01,3,2026,16.521084337349397,19.978479196556673,16.55455149286058,0,16.27620109616886,19.08177905308466,1
